Altium Designer Pick and Place Locations
C:\Users\joshh\Nextcloud\Documents\altium\projects\beovox-poe\pcb-files\Project Outputs for beovox-poe\Pick Place\Pick Place for beovox-poe(assembly).csv

========================================================================================================================
File Design Information:

Date:       15/04/26
Time:       13:50
Revision:   Not in VersionControl
Variant:    assembly
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"T1","27.7000mm","18.2000mm","TopLayer","180"
"U5","79.0000mm","18.4000mm","TopLayer","180"
"U2","83.6000mm","36.0000mm","TopLayer","0"
"U9","59.8000mm","27.7000mm","TopLayer","180"
"U8","59.8000mm","24.5000mm","TopLayer","180"
"U7","59.8000mm","21.3000mm","TopLayer","180"
"U6","59.8000mm","11.7000mm","TopLayer","0"
"U4","59.8000mm","14.9000mm","TopLayer","0"
"U3","59.8000mm","18.1000mm","TopLayer","0"
"MP4","86.0000mm","10.0000mm","BottomLayer","180"
"MP3","6.0000mm","10.0000mm","BottomLayer","180"
"MP2","86.0000mm","65.0000mm","BottomLayer","180"
"MP1","6.0000mm","65.0000mm","BottomLayer","180"
"CONN1","46.0000mm","6.5350mm","TopLayer","0"
"R22","4.4000mm","41.1000mm","TopLayer","90"
"R21","8.4000mm","41.1000mm","TopLayer","90"
"R26","65.1000mm","24.5000mm","TopLayer","90"
"R25","65.5000mm","27.0000mm","TopLayer","0"
"R24","6.0000mm","53.5000mm","TopLayer","0"
"R23","82.3000mm","18.2000mm","TopLayer","270"
"R3","81.2000mm","33.6000mm","TopLayer","180"
"R19","54.9000mm","24.2000mm","TopLayer","90"
"R18","54.9000mm","21.5000mm","TopLayer","90"
"R17","19.6000mm","31.8500mm","TopLayer","90"
"R16","18.3000mm","31.8500mm","TopLayer","90"
"R15","17.0000mm","31.8500mm","TopLayer","90"
"R14","15.7000mm","31.8500mm","TopLayer","90"
"R13","14.7500mm","8.8000mm","TopLayer","0"
"R12","14.7500mm","10.3000mm","TopLayer","0"
"R11","14.7500mm","11.8000mm","TopLayer","0"
"R10","14.7500mm","13.3000mm","TopLayer","0"
"R9","81.6334mm","62.0000mm","TopLayer","90"
"R8","62.2000mm","5.5000mm","TopLayer","0"
"R7","71.9000mm","18.1000mm","TopLayer","270"
"R6","62.2000mm","4.0000mm","TopLayer","0"
"R5","62.2000mm","6.9000mm","TopLayer","0"
"R4","65.0000mm","21.4000mm","TopLayer","90"
"Q2","74.7000mm","19.4000mm","TopLayer","90"
"Q1","87.9750mm","34.8998mm","TopLayer","270"
"D12","58.5000mm","5.9000mm","TopLayer","0"
"J8","67.5700mm","31.8000mm","TopLayer","180"
"FB2","4.4000mm","34.7000mm","TopLayer","90"
"FB1","8.4000mm","34.7000mm","TopLayer","90"
"D10","3.7500mm","26.3000mm","TopLayer","0"
"D9","11.5000mm","26.3000mm","TopLayer","0"
"D8","11.5000mm","16.2500mm","TopLayer","0"
"D7","3.7500mm","16.2500mm","TopLayer","0"
"D6","6.7000mm","29.9000mm","TopLayer","0"
"D4","3.7500mm","19.6000mm","TopLayer","0"
"D3","11.5000mm","19.6000mm","TopLayer","0"
"D2","11.5000mm","22.9500mm","TopLayer","0"
"D1","3.7500mm","22.9500mm","TopLayer","0"
"D5","68.1000mm","13.5000mm","TopLayer","0"
"J1","88.1000mm","23.7000mm","TopLayer","90"
"CONN3","70.9500mm","7.3000mm","TopLayer","270"
"CONN2","45.9000mm","23.9200mm","TopLayer","180"
"C6","86.4000mm","56.0000mm","TopLayer","90"
"C5","86.4000mm","44.8000mm","TopLayer","90"
"C1","78.1000mm","27.1000mm","TopLayer","180"
"C18","17.2000mm","25.0000mm","TopLayer","90"
"C17","13.3000mm","6.8000mm","TopLayer","180"
"C8","59.0000mm","33.5000mm","TopLayer","0"
"C7","59.0000mm","30.9000mm","TopLayer","0"
"C22","76.3000mm","15.2000mm","TopLayer","90"
"C21","84.3000mm","38.3000mm","TopLayer","0"
"C20","78.7000mm","20.9000mm","TopLayer","180"
"C19","78.7000mm","15.9000mm","TopLayer","180"
"C4","84.2000mm","33.4000mm","TopLayer","0"
"C2","82.1000mm","39.1000mm","TopLayer","90"
"C16","19.6000mm","29.2000mm","TopLayer","90"
"C15","18.3000mm","29.2000mm","TopLayer","90"
"C14","17.0000mm","29.2000mm","TopLayer","90"
"C13","15.7000mm","29.2000mm","TopLayer","90"
"C12","12.0000mm","8.8000mm","TopLayer","0"
"C11","12.0000mm","10.3000mm","TopLayer","0"
"C10","12.0000mm","11.8000mm","TopLayer","0"
"C9","12.0000mm","13.3000mm","TopLayer","0"
"U1","45.5000mm","52.5000mm","TopLayer","0"
"J2","69.5000mm","28.4000mm","TopLayer","180"
"J7","7.9000mm","57.1000mm","TopLayer","270"
"J6","4.1000mm","57.1000mm","TopLayer","90"
"J9","68.6000mm","23.4000mm","TopLayer","180"
