Designator,Supplier Part Number,Supplier,Quantity,Comment,Manufacturer,Manufacturer Part Number,Footprint,Description,Case/Package

"C19","C106688","LCSC","1","47uF / 100V","AISHI(Aihua Group)","ERS1KM470F12OT","CAP_TH_3.5_8_12","47uF 100V ±20% Plugin,D8xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS",""
"CONN1","C386757","LCSC","1","R-RJ45R08P-C000","Ckmtw","R-RJ45R08P-C000","R-RJ45R08P-C000","RJ45 RJReceptacle 1 ??? Right-Angle WithLED 0?~+70? Plugin Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS",""
"CONN2","C386764","LCSC","1","R-RJ45S08P-C000","Ckmtw(Shenzhen Cankemeng)","R-RJ45S08P-C000","CONN_RJ45_R-RJ45S08P-C000","RJ45 RJReceptacle 1 ??? Straight WithLED 0?~+70? Plugin Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS",""
"CONN3","C5155559","LCSC","1","DC-005H-D020","G-Switch","DC-005H-D020","TENSILITY_54-00166","Right-Angle DC Power Receptacle -30?~+85? 2mm 5.8mm 7A 35V Plugin AC/DC Power Connectors ROHS",""
"D6","C2980408","LCSC","1","SMAJ58A","GOODWORK","SMAJ58A","DIOD-SMA-2_V","4.3A 400W 93.6V 64.4V 58V SMA(DO-214AC) TVS ROHS",""
"D12","C7470849","LCSC","1","3 Diode Vertical LED Green","MEIHUA","MHK33147CGBTD","MHK33147CGBTD","20mA 30mcd ????? -40?~+85? 568nm Green 60° 2.6V DIP-6-2.54mm Light Emitting Diodes (LED) ROHS",""
"J1","C430618","LCSC","1","DB125-3.81-2P-BK-S","Dorabo","DB125-3.81-2P-BK-S","TERM_2x1_3.81_BLK","1x2P 10A -40?~+105? 300V Black 16~26 Straight 3.81mm 0.5~1 1 2 Plugin,P=3.81mm Screw terminal ROHS",""
"J2","C492405","LCSC","1","PZ254V-11-06P","XFCN","","HDR_MALE_1X6_2.54","Straight Square Pins 2.5mm 6P 6mm -40?~+105? 3mm 2.54mm Plugin Black Brass 1x6P Plugin,P=2.54mm Pin Headers ROHS",""
"R7","C22548","LCSC","1","1K","Yageo","RC0603FR-071KL","RES_0603","Res Thick Film 0603 1K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R","0603"
"R9","C137671","LCSC","1","91k","Yageo","RC0603FR-0791KL","RES_0603","SMD Chip Resistor, 91 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose","0603"
"T1","","","1","7490220122","Wurth Electronics","7490220122","XFMR_7490220122","WE-LAN 10/100/1000 Base-T SMT Transformer 1 Port",""
"U1","","","1","AG5800","Silvertel","AG5800","AG5800","IEEE802.3bt 4-Pair PD Module - works with AG6800",""
"C1, C3","","","2","1uF / 100V","Murata","GRM32ER72A105KA01L","CAP_1210","1210 1 uF 100 V ±10% Tolerance X7R SMT Multilayer Ceramic Capacitor","1210"
"C2, C4","C113803","LCSC","2","0.1uF","Yageo","CC0603KRX7R0BB104","CAP_0603_SK","0603 0.1 uF 100 V ±10% Tolerance X7R Multilayer Ceramic Capacitor","0603"
"C5, C6","C398835","LCSC","2","1000uF 35V","AISHI","ERR1VM102G20OT","CAP_TH_5_10X20","1000uF 35V ±20% Plugin,D10xL20mm Aluminum Electrolytic Capacitors - Leaded ROHS",""
"C7, C8","C41017","LCSC","2","4.7nF 2kV","FH (Guangdong Fenghua Advanced Tech)","1206B472K202NT","CAP_1206_SK","2kV 4700pF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",""
"C17, C18","C23631","LCSC","2","1000pF 2kV","Yageo","CC1206KKX7RDBB102","CAP_1206_SK","Multilayer Ceramic Capacitor, 1000 pF, 2000 V, ± 10%, X7R, 1206 [3216 Metric]","1206"
"D5, D11","C72265","LCSC","2","60V / 2A","Diodes","B260-13-F","DIOD-B360A_V","VR=60V IF=2A 200pF","SMB"
"J3, J4","","","2","JUMPER","","","SOLDER_JUMPER_3 large","",""
"Q1, Q2","","","2","100V 40A","Infineon","BSZ097N10NS5ATMA1","TRANS_8PowerTDFN","BSZ097xx Series 100 V 40 A 9.7 mOhm OptiMOS?5 Power-MOSFET - TSDSON-8 FL",""
